%    atsl_version	                 1.0
%         rectime	             300.000
%  ephys_filename	 2006_10_02_0000.abf
%      ephys_chan	          IN 0 extra
%    ev_threshold	            -0.05423
% burst_interval1	              100.00
% burst_interval2	              500.00
%     burst_minev	                   3
%   silentper_dur	             2000.00
% silentper_maxev	                   1
%    data_quality	                 NaN
%         comment	generated by burstdetguifunc
   1.0306        0
   1.0407        0
   1.0536        0
   1.0567        0
   1.0643        0
   1.0717        0
   1.0756        0
   1.0790        0
   1.0796        0
   1.0853        0
   1.0895        0
   1.0919        0
   1.0970        0
   1.0999        0
   1.1045        0
   1.1089        0
   1.1167        0
   1.1236        0
   1.1306        0
   1.1398        0
   1.1607        0
   1.1737        0
   1.1893        0
   1.2048        0
   1.2063        0
   1.2235        0
   1.2341        0
   1.2426        0
   1.2442        0
   1.2514        0
   1.2659        0
   1.2687        0
   1.2817        0
   1.3036        0
   1.3220        0
   1.3264        0
   1.3433        0
   1.3613        0
   1.4076        0
   1.4417        0
   1.4805        0
   1.4963        0
   1.5530        0
   5.1715   6.8901
   5.1830        0
   5.1950        0
   5.2322        0
   5.2365        0
   5.2407        0
   5.2474        0
   5.2548        0
   5.2584        0
   5.2621        0
   5.2636        0
   5.2694        0
   5.2748        0
   5.2773        0
   5.2799        0
   5.2857        0
   5.2915        0
   5.2956        0
   5.2971        0
   5.3027        0
   5.3062        0
   5.3152        0
   5.3219        0
   5.3336        0
   5.3454        0
   5.3640        0
   5.3740        0
   5.3898        0
   5.4036        0
   5.4194        0
   5.4305        0
   5.4402        0
   5.4752        0
   5.4981        0
   5.5208        0
   5.5359        0
   5.5489        0
   5.5633        0
   5.5657        0
   5.5708        0
   5.6154        0
   5.6833        0
   5.6997        0
   5.7097        0
   5.7443        0
   5.7881        0
   5.8261        0
   5.8377        0
   5.8687        0
   5.9140        0
   5.9352        0
   5.9424        0
   5.9452        0
   5.9633        0
   5.9672        0
   6.0101        0
   6.0456        0
   6.0471        0
   6.0616        0
   6.0698        0
   6.1143        0
   6.1274        0
   6.6256        0
   6.6300        0
   6.6384        0
   6.6448        0
   6.6546        0
   6.6617        0
   6.6683        0
   6.6785        0
   6.6833        0
   6.6856        0
   6.6915        0
   6.6974        0
   6.7018        0
   6.7052        0
   6.7056        0
   6.7098        0
   6.7144        0
   6.7217        0
   6.7268        0
   6.7300        0
   6.7302        0
   6.7353        0
   6.7404        0
   6.7469        0
   6.7528        0
   6.7585        0
   6.7662        0
   6.7807        0
   6.7956        0
   6.8060        0
   6.8178        0
   6.8188        0
   6.8270        0
   6.8383        0
   6.8476        0
   6.8541        0
   6.8656        0
   6.8745        0
   6.8768        0
   6.8864        0
   6.8983        0
   6.9064        0
   6.9160        0
   6.9289        0
   6.9374        0
   6.9485        0
   6.9759        0
   6.9862        0
   6.9963        0
   7.0042        0
   7.0148        0
   7.0359        0
   7.0455        0
   7.0607        0
   7.0765        0
   7.0853        0
   7.0930        0
   7.0990        0
   7.1091        0
   7.1236        0
   7.1416        0
   7.1506        0
   7.1665        0
   7.1776        0
   7.1875        0
   7.1928        0
   7.1978        0
   7.2081        0
   7.2154        0
   7.2377        0
   7.2533        0
   7.2687        0
   7.2782        0
   7.2913        0
   7.3103        0
   7.3165        0
   7.3284        0
   7.3405        0
   7.3620        0
   7.3739        0
   7.4008        0
   7.4110        0
   7.4173        0
   7.4223        0
   7.4282        0
   7.4397        0
   7.4718        0
   7.5014        0
   7.5323        0
   7.5490        0
   7.5563        0
   7.5584        0
   7.5635        0
   7.5697        0
   7.5815        0
   7.6483        0
   7.6555        0
   7.6681        0
   7.6912        0
   7.7215        0
   7.7323        0
   7.7398        0
   7.7781        0
   7.7901        0
   7.7959        0
   7.7983        0
   7.8019        0
   7.8069        0
   7.8142        0
   7.8182        0
   7.8231        0
   7.8257        0
   7.8293        0
   7.8338        0
   7.8397        0
   7.8449        0
   7.8513        0
   7.8582        0
   7.8647        0
   7.8788        0
   7.8916        0
   7.9116        0
   7.9253        0
   7.9280        0
   7.9406        0
   7.9572        0
   7.9735        0
   7.9850        0
   7.9900        0
   8.0040        0
   8.0258        0
   8.0464        0
   8.0504        0
   8.0678        0
   8.0807        0
   8.0926        0
   8.1064        0
   8.1219        0
   8.1393        0
   8.1505        0
   8.1664        0
   8.2053        0
   8.2175        0
   8.2289        0
   8.2508        0
   8.2708        0
   8.2804        0
   8.2858        0
   8.2912        0
   8.2985        0
   8.3055        0
   8.3150        0
   8.3954        0
   8.4061        0
   8.4185        0
   8.4589        0
   8.4683        0
   8.4756        0
   8.4790        0
   8.4812        0
   8.4887        0
   8.4959        0
   8.5245        0
   8.5322        0
   8.5546        0
   8.5781        0
   8.5952        0
